ts_obs_w_30sec_1,ts_obs_w_30sec_2,ts_obs_w_30sec_3,ts_obs_w_30sec_4,ts_obs_w_30sec_5,ts_obs_w_30sec_6,ts_obs_w_30sec_7,ts_obs_w_30sec_8,ts_obs_w_30sec_9,ts_obs_w_30sec_10
0.07236647605895996,0.05906939506530762,0.06313681602478027,0.08303165435791016,0.10210132598876953,0.10750079154968262,0.1240396499633789,0.13478469848632812,0.1515488624572754,0.13352489471435547
0.07539653778076172,0.07620501518249512,0.06638503074645996,0.0844583511352539,0.09738373756408691,0.10810303688049316,0.1204073429107666,0.13547325134277344,0.1492018699645996,0.13051629066467285
0.06245541572570801,0.06768345832824707,0.06616806983947754,0.0843806266784668,0.09667634963989258,0.10887980461120605,0.12646484375,0.1398482322692871,0.14989233016967773,0.1335752010345459
0.07196259498596191,0.06253361701965332,0.06544041633605957,0.09128236770629883,0.0958855152130127,0.1169579029083252,0.12713932991027832,0.13788175582885742,0.15013790130615234,0.1305372714996338
0.07893157005310059,0.09593749046325684,0.06311345100402832,0.08474493026733398,0.09539461135864258,0.11081910133361816,0.12604594230651855,0.13856101036071777,0.15331816673278809,0.13547420501708984
0.07718682289123535,0.06733036041259766,0.06018829345703125,0.08747625350952148,0.0990452766418457,0.1066429615020752,0.12773847579956055,0.13405871391296387,0.15511679649353027,0.13614511489868164
0.07598471641540527,0.05926513671875,0.05894064903259277,0.0942833423614502,0.10268473625183105,0.10933375358581543,0.12320446968078613,0.1353144645690918,0.14938926696777344,0.13049888610839844
0.07286477088928223,0.06271100044250488,0.05937337875366211,0.08863067626953125,0.0960845947265625,0.11310195922851562,0.12604165077209473,0.13474345207214355,0.14885640144348145,0.13077735900878906
0.08027362823486328,0.059798479080200195,0.060513973236083984,0.09198760986328125,0.10097837448120117,0.11250090599060059,0.12261033058166504,0.13997697830200195,0.15105509757995605,0.1304612159729004
0.06249070167541504,0.06035470962524414,0.06530189514160156,0.08447766304016113,0.1015005111694336,0.10896968841552734,0.12228107452392578,0.13811349868774414,0.1534891128540039,0.1330733299255371
0.07251858711242676,0.0626375675201416,0.0596928596496582,0.08386063575744629,0.09674739837646484,0.11203551292419434,0.12642788887023926,0.13764667510986328,0.15130996704101562,0.13033509254455566
0.06312799453735352,0.054311513900756836,0.06562685966491699,0.08298039436340332,0.0956413745880127,0.11065030097961426,0.12030649185180664,0.13834857940673828,0.15224027633666992,0.13027334213256836
0.07092857360839844,0.06026506423950195,0.060060739517211914,0.08708882331848145,0.09705758094787598,0.1091156005859375,0.12066364288330078,0.13868451118469238,0.14882183074951172,0.13694453239440918
0.07315802574157715,0.06051015853881836,0.06627869606018066,0.08197999000549316,0.10537600517272949,0.11447906494140625,0.12064194679260254,0.1374969482421875,0.15391945838928223,0.13044261932373047
0.06674385070800781,0.0675206184387207,0.06669425964355469,0.0913553237915039,0.0945580005645752,0.11262893676757812,0.12688899040222168,0.1418311595916748,0.153914213180542,0.13093304634094238
0.0660238265991211,0.06699252128601074,0.06583809852600098,0.09067511558532715,0.09843754768371582,0.10709786415100098,0.12589764595031738,0.13557863235473633,0.1507568359375,0.1332542896270752
0.0767519474029541,0.05840873718261719,0.06738662719726562,0.09025049209594727,0.09879469871520996,0.10841774940490723,0.12091064453125,0.1359555721282959,0.15443205833435059,0.1361398696899414
0.07145094871520996,0.055156707763671875,0.060904741287231445,0.08890748023986816,0.10131001472473145,0.10779786109924316,0.1258072853088379,0.1382443904876709,0.15247488021850586,0.12979650497436523
0.07541179656982422,0.08517742156982422,0.06565046310424805,0.08589410781860352,0.09516763687133789,0.10637068748474121,0.1229090690612793,0.14107084274291992,0.1516711711883545,0.138718843460083
0.08750700950622559,0.05822181701660156,0.07547259330749512,0.0840752124786377,0.09826111793518066,0.11329817771911621,0.12299561500549316,0.13933062553405762,0.1493968963623047,0.1322014331817627
